transaction_id,account_id,customer_id,timestamp,amount,direction,counterparty,counterparty_jurisdiction,channel
TXN000030,ACC00003,CUST0003,2025-10-27 11:00:00,10000.0,debit,Ramirez-Reid,CA,WIRE
TXN000031,ACC00003,CUST0003,2025-11-03 15:00:00,3000.0,debit,Martin-Kelly,CA,WIRE
TXN000032,ACC00003,CUST0003,2025-11-10 17:00:00,7000.0,credit,"Adams, Zuniga and Wong",CA,WIRE
TXN000033,ACC00003,CUST0003,2025-11-17 14:00:00,1000.0,credit,"Reid, Ferguson and Sanchez",CA,WIRE
TXN000034,ACC00003,CUST0003,2025-11-24 12:00:00,5000.0,credit,Gray-Mayo,CA,WIRE
TXN000035,ACC00003,CUST0003,2025-12-01 14:00:00,2000.0,debit,"Watts, Robinson and Nguyen",CA,WIRE
TXN000036,ACC00003,CUST0003,2025-12-08 13:00:00,4000.0,credit,Perez Inc,CA,WIRE
TXN000037,ACC00003,CUST0003,2025-10-21 11:37:32,1508.59,debit,Morales-Jones,CA,ACH
TXN000038,ACC00003,CUST0003,2025-12-02 09:57:12,436.84,debit,"Walter, Edwards and Rios",CA,ACH
TXN000039,ACC00003,CUST0003,2025-11-22 07:54:29,1297.32,debit,Thomas Ellis,CA,CARD
TXN000040,ACC00003,CUST0003,2025-11-05 03:30:46,432.72,credit,David Hoffman,CA,CHECK
TXN000041,ACC00003,CUST0003,2025-12-13 09:06:00,475.63,credit,Burgess-Patterson,CA,WIRE
TXN000042,ACC00003,CUST0003,2025-12-06 01:38:10,1167.2,debit,Heidi Osborn,CA,CARD
TXN000043,ACC00004,CUST0004,2025-10-04 16:00:00,6440.21,credit,Davis-Williams,IR,WIRE
TXN000044,ACC00004,CUST0004,2025-10-13 17:00:00,7881.47,debit,Hernandez and Sons,IR,WIRE
TXN000045,ACC00004,CUST0004,2025-10-22 13:00:00,5826.43,debit,"Henderson, Brown and James",SY,WIRE
TXN000046,ACC00004,CUST0004,2025-10-31 11:00:00,6300.04,debit,Rice-Maddox,SY,WIRE
TXN000047,ACC00004,CUST0004,2025-11-09 12:00:00,3994.22,credit,Frazier Inc,SY,WIRE
TXN000048,ACC00004,CUST0004,2025-11-18 14:00:00,6176.05,debit,"Dyer, Potter and Mack",MM,WIRE
TXN000049,ACC00004,CUST0004,2025-11-27 12:00:00,3377.39,credit,Rodriguez-Graham,IR,WIRE
TXN000050,ACC00004,CUST0004,2025-12-06 16:00:00,8305.13,credit,Smith-Bowen,KP,WIRE
TXN000051,ACC00004,CUST0004,2025-12-04 01:19:51,512.61,debit,Valerie Gill,DE,CHECK
TXN000052,ACC00004,CUST0004,2025-11-28 21:27:58,2788.92,debit,Ashley Garrett,DE,CHECK
TXN000053,ACC00004,CUST0004,2025-12-06 23:30:29,1209.67,credit,Katie Gonzalez,DE,CARD
TXN000054,ACC00004,CUST0004,2025-11-06 06:07:58,1365.68,debit,Farmer-Ryan,DE,WIRE
TXN000055,ACC00004,CUST0004,2025-10-07 05:11:28,1671.27,debit,"Sellers, George and Burns",DE,ACH
TXN000056,ACC00004,CUST0004,2025-10-01 16:45:21,195.51,credit,Jack Galloway,DE,CARD
TXN000057,ACC00005,CUST0005,2025-11-10 09:00:00,9300.0,credit,Wire In - Correspondent Bank,IR,WIRE
TXN000058,ACC00005,CUST0005,2025-11-10 17:00:00,8600.0,credit,Wire In - Correspondent Bank,MM,WIRE
TXN000059,ACC00005,CUST0005,2025-11-11 01:00:00,9750.0,credit,Wire In - Correspondent Bank,IR,WIRE
TXN000060,ACC00005,CUST0005,2025-11-19 22:04:14,1467.07,credit,Brown PLC,FR,ACH
TXN000061,ACC00005,CUST0005,2025-12-10 05:32:01,1429.87,debit,Miller Group,FR,ACH
TXN000062,ACC00005,CUST0005,2025-10-10 03:47:42,1076.22,credit,Vanessa Patel,FR,CARD
TXN000063,ACC00005,CUST0005,2025-12-23 20:53:07,2952.91,credit,Matthew Arroyo,FR,CARD
TXN000064,ACC00005,CUST0005,2025-11-09 02:10:32,345.81,debit,Baker PLC,FR,WIRE
TXN000065,ACC00005,CUST0005,2025-11-22 01:38:10,567.26,debit,Brandt-Hickman,FR,ACH
TXN000066,ACC00006,CUST0006,2025-10-05 21:52:45,191.97,debit,Jacqueline Lam,JP,CARD
TXN000067,ACC00006,CUST0006,2025-10-23 22:48:14,2577.16,credit,David Brown,CH,CARD
TXN000068,ACC00006,CUST0006,2025-11-06 19:04:16,11120.1,credit,Chapman and Sons,CH,ACH
TXN000069,ACC00006,CUST0006,2025-12-07 15:10:33,6676.6,debit,Adrienne Zimmerman,CH,CHECK
TXN000070,ACC00006,CUST0006,2025-10-29 19:22:45,8832.87,credit,Perez Inc,CH,ACH
TXN000071,ACC00006,CUST0006,2025-10-05 20:50:24,10235.01,debit,Andrea Young,IR,CARD
TXN000072,ACC00006,CUST0006,2025-10-08 18:40:23,830.37,debit,"Washington, Ryan and Cummings",GB,ACH
TXN000073,ACC00006,CUST0006,2025-12-26 10:31:11,491.39,debit,Laura Sanchez,AU,CARD
TXN000074,ACC00006,CUST0006,2025-11-24 21:04:27,2463.76,debit,Jason Davis,CH,CHECK
TXN000075,ACC00006,CUST0006,2025-11-08 10:14:52,5495.77,credit,Heather Jenkins,CH,CARD
TXN000076,ACC00006,CUST0006,2025-10-01 21:42:23,11953.29,debit,Amy Valdez,CH,CHECK
TXN000077,ACC00007,CUST0007,2025-10-16 07:34:36,3641.65,credit,Corey Herrera,SG,CARD
TXN000078,ACC00007,CUST0007,2025-11-21 08:31:16,3603.72,credit,Henderson LLC,CH,WIRE
TXN000079,ACC00007,CUST0007,2025-10-14 00:55:15,8913.02,credit,Wright-Leblanc,CA,WIRE
TXN000080,ACC00007,CUST0007,2025-10-21 10:48:09,7616.61,debit,Morton-Chase,CA,ACH
TXN000081,ACC00007,CUST0007,2025-12-27 21:35:12,7617.73,debit,Williams PLC,CA,ACH
TXN000082,ACC00007,CUST0007,2025-11-02 09:14:35,3155.28,debit,Tracy House,DE,CARD
TXN000083,ACC00007,CUST0007,2025-11-11 12:34:57,11342.13,debit,Martin Group,CA,ACH
TXN000084,ACC00007,CUST0007,2025-10-04 11:57:05,1790.03,debit,Dr. Steven Martin,CA,CARD
TXN000085,ACC00007,CUST0007,2025-12-27 06:46:43,493.5,debit,James House,AU,CHECK
TXN000086,ACC00007,CUST0007,2025-12-04 18:04:02,10611.76,credit,Mitchell-Horton,FR,WIRE
TXN000087,ACC00007,CUST0007,2025-10-16 00:08:07,1963.38,debit,"Cowan, Peters and Higgins",CA,ACH
TXN000088,ACC00007,CUST0007,2025-11-10 00:42:56,3997.17,credit,Edward Novak,SG,CARD
TXN000089,ACC00007,CUST0007,2025-12-23 21:24:54,1923.69,debit,"Fitzgerald, Brown and Edwards",GB,ACH
TXN000090,ACC00007,CUST0007,2025-10-04 18:14:05,9802.25,debit,Silva PLC,CA,ACH
TXN000091,ACC00007,CUST0007,2025-12-17 05:17:21,7925.9,debit,"Moore, Yu and Miller",CA,ACH
TXN000092,ACC00007,CUST0007,2025-10-07 17:45:43,7703.56,debit,Jones Inc,AF,ACH
TXN000093,ACC00007,CUST0007,2025-11-22 01:28:23,10526.57,credit,"Hensley, Powell and David",FR,ACH
TXN000094,ACC00007,CUST0007,2025-10-26 18:34:53,4158.85,credit,Lauren Williams,GB,CARD
TXN000095,ACC00007,CUST0007,2025-11-19 15:42:07,2293.14,credit,Barnes PLC,GB,WIRE
TXN000096,ACC00007,CUST0007,2025-11-20 11:30:07,8638.11,debit,Emily Green,AU,CARD
TXN000097,ACC00007,CUST0007,2025-11-05 08:41:51,11051.06,credit,Emily Baker,AU,CHECK
TXN000098,ACC00007,CUST0007,2025-10-13 02:23:52,3722.19,debit,Powers LLC,GB,ACH
TXN000099,ACC00007,CUST0007,2025-10-29 16:55:35,7984.56,debit,Stewart-Walton,JP,ACH
TXN000100,ACC00008,CUST0007,2025-11-09 10:13:25,3454.09,debit,Smith PLC,FR,ACH
TXN000101,ACC00008,CUST0007,2025-12-03 13:34:28,8112.9,credit,Dr. Angel Lewis MD,SG,CARD
TXN000102,ACC00008,CUST0007,2025-12-17 06:52:19,3416.84,debit,Shirley Suarez,FR,CARD
TXN000103,ACC00008,CUST0007,2025-10-10 01:36:28,8078.68,debit,Mitchell-Kim,CA,WIRE
TXN000104,ACC00008,CUST0007,2025-10-03 08:54:55,7341.89,credit,Elizabeth Riggs,CA,CHECK
TXN000105,ACC00008,CUST0007,2025-12-26 00:50:55,8361.3,debit,"Rice, Contreras and Spencer",CA,ACH
TXN000106,ACC00008,CUST0007,2025-12-03 16:43:33,10328.27,debit,"Garcia, Humphrey and Baker",SG,WIRE
TXN000107,ACC00008,CUST0007,2025-10-22 05:56:12,6222.77,credit,Natalie Moore,CA,CHECK
TXN000108,ACC00008,CUST0007,2025-12-22 08:46:01,5584.28,credit,Jacobs-Robbins,DE,ACH
TXN000109,ACC00008,CUST0007,2025-10-31 19:21:28,7358.36,debit,Watts LLC,CA,WIRE
TXN000110,ACC00008,CUST0007,2025-12-20 15:21:59,1923.37,debit,Danielle Odonnell,CA,CARD
TXN000111,ACC00008,CUST0007,2025-12-12 23:46:00,9193.8,credit,Mark Calderon,FR,CARD
TXN000112,ACC00008,CUST0007,2025-10-27 15:51:30,2825.74,credit,Gavin Anderson,CH,CARD
TXN000113,ACC00008,CUST0007,2025-10-08 19:45:34,8332.69,credit,Martin-Ramos,CA,ACH
TXN000114,ACC00008,CUST0007,2025-11-09 13:46:31,762.09,credit,Kristina Rodriguez,GB,CARD
TXN000115,ACC00008,CUST0007,2025-12-14 17:45:14,10283.7,debit,Melissa Hernandez,US,CARD
TXN000116,ACC00008,CUST0007,2025-10-01 13:44:19,4689.88,debit,Davenport PLC,NL,ACH
TXN000117,ACC00008,CUST0007,2025-11-22 06:08:41,7245.2,debit,Jessica Williams,CA,CARD
TXN000118,ACC00008,CUST0007,2025-11-12 07:34:17,8032.25,debit,Nolan-Flynn,JP,ACH
TXN000119,ACC00008,CUST0007,2025-12-21 14:31:12,7472.78,debit,Nolan and Sons,GB,ACH
TXN000120,ACC00008,CUST0007,2025-11-24 19:07:43,5152.79,debit,"Wright, Garcia and Deleon",CA,ACH
TXN000121,ACC00008,CUST0007,2025-10-26 06:12:29,3933.01,credit,Dickson-Brady,US,ACH
TXN000122,ACC00008,CUST0007,2025-12-13 00:18:35,10021.88,debit,Cynthia Martin,JP,CARD
TXN000123,ACC00008,CUST0007,2025-10-06 01:22:05,7807.76,debit,Keith Inc,AU,ACH
TXN000124,ACC00009,CUST0008,2025-10-13 06:06:58,11374.33,debit,"Shields, Cochran and Adams",SG,ACH
TXN000125,ACC00009,CUST0008,2025-11-05 19:35:17,8979.0,credit,Ashley Brennan,SG,CARD
TXN000126,ACC00009,CUST0008,2025-10-31 04:46:23,3754.48,credit,Walker-Velasquez,IR,ACH
TXN000127,ACC00009,CUST0008,2025-11-08 12:16:18,7112.12,debit,Bailey-Hoover,SG,ACH
TXN000128,ACC00009,CUST0008,2025-12-07 16:34:38,7211.05,debit,Walker Ltd,AF,WIRE
TXN000129,ACC00009,CUST0008,2025-12-15 23:40:21,7943.4,credit,Garrett Lin,AU,CARD
TXN000130,ACC00009,CUST0008,2025-10-02 05:28:53,1280.84,debit,Bell-Hicks,AU,WIRE
TXN000131,ACC00009,CUST0008,2025-12-20 11:01:40,2126.52,debit,"Zavala, Herrera and Crosby",AU,ACH
TXN000132,ACC00009,CUST0008,2025-11-29 19:10:47,5810.15,debit,Wesley White,JP,CARD
TXN000133,ACC00009,CUST0008,2025-10-27 01:24:24,11216.72,credit,Johnson-Carlson,CA,ACH
TXN000134,ACC00009,CUST0008,2025-12-12 20:44:11,4557.22,debit,Richard Graham,NL,CARD
TXN000135,ACC00009,CUST0008,2025-10-18 15:43:03,3111.63,debit,"Wilson, Lam and Lee",FR,ACH
TXN000136,ACC00009,CUST0008,2025-12-25 10:47:55,11377.62,credit,Fletcher Inc,JP,ACH
TXN000137,ACC00009,CUST0008,2025-11-17 10:28:08,5721.69,debit,"Frost, Ryan and Ball",CA,ACH
TXN000138,ACC00009,CUST0008,2025-10-02 16:10:46,8306.38,credit,"Mclaughlin, Gonzalez and Reynolds",FR,ACH
TXN000139,ACC00009,CUST0008,2025-11-15 22:46:36,11960.18,debit,"Mccall, Hanson and Alvarado",US,ACH
TXN000140,ACC00009,CUST0008,2025-11-14 01:18:11,1461.25,credit,Cortez LLC,SG,ACH
TXN000141,ACC00009,CUST0008,2025-11-22 00:39:12,2311.36,debit,Mary Nguyen,SG,CARD
TXN000142,ACC00009,CUST0008,2025-11-27 05:50:13,3406.84,debit,Kristen Lee,SG,CARD
TXN000143,ACC00009,CUST0008,2025-10-23 02:04:27,8500.73,credit,"Bentley, Byrd and Orr",SG,ACH
TXN000144,ACC00010,CUST0009,2025-10-10 23:02:47,5641.16,debit,Jeffrey Carpenter,US,CARD
TXN000145,ACC00010,CUST0009,2025-10-05 23:42:59,1382.4,credit,"Morris, Ramos and Lowe",CA,WIRE
TXN000146,ACC00010,CUST0009,2025-11-26 00:33:24,1803.7,debit,"Kennedy, Santana and Flynn",US,ACH
TXN000147,ACC00010,CUST0009,2025-10-25 02:19:36,7282.51,credit,Hopkins LLC,US,WIRE
TXN000148,ACC00010,CUST0009,2025-11-20 17:40:56,3579.37,credit,Mackenzie Rogers,GB,CHECK
TXN000149,ACC00010,CUST0009,2025-11-25 05:00:09,8885.92,debit,Nicole Chambers,US,CARD
TXN000150,ACC00010,CUST0009,2025-10-21 11:43:27,2890.34,credit,Drake and Sons,US,ACH
TXN000151,ACC00010,CUST0009,2025-11-09 15:54:53,3505.97,debit,David Alvarez,JP,CARD
TXN000152,ACC00010,CUST0009,2025-12-08 06:04:47,2812.85,debit,Gibson Ltd,SG,ACH
TXN000153,ACC00010,CUST0009,2025-11-27 06:18:33,5110.84,debit,Michelle Cruz,AU,CHECK
TXN000154,ACC00010,CUST0009,2025-12-28 04:45:07,730.55,credit,Sanchez-Douglas,FR,ACH
TXN000155,ACC00010,CUST0009,2025-12-20 00:37:08,1506.07,debit,Stafford Inc,JP,ACH
TXN000156,ACC00010,CUST0009,2025-10-27 10:22:46,979.14,debit,Colleen Brock,GB,CARD
TXN000157,ACC00010,CUST0009,2025-11-01 07:03:49,2759.33,debit,"Holmes, Williams and Wright",NL,ACH
TXN000158,ACC00010,CUST0009,2025-11-27 00:05:44,8072.56,debit,Joyce Solis,US,CHECK
TXN000159,ACC00010,CUST0009,2025-12-13 10:14:02,5315.4,credit,Victoria Larson,SY,CARD
TXN000160,ACC00010,CUST0009,2025-11-12 07:41:08,1108.89,debit,Stephanie Salazar,US,CARD
TXN000161,ACC00010,CUST0009,2025-12-05 01:31:27,4949.06,credit,"Mcclain, Simmons and Meadows",AU,ACH
TXN000162,ACC00010,CUST0009,2025-11-08 21:07:16,5466.4,debit,Christopher Hensley,US,CARD
TXN000163,ACC00010,CUST0009,2025-12-15 00:10:01,11858.27,credit,Paul Larsen,DE,CARD
TXN000164,ACC00010,CUST0009,2025-11-10 02:56:11,7477.77,credit,Richard Washington,GB,CARD
TXN000165,ACC00010,CUST0009,2025-10-06 00:15:50,11133.6,credit,Jeremiah Reeves,AU,CARD
TXN000166,ACC00010,CUST0009,2025-10-12 18:56:35,9595.48,credit,George Orozco,US,CARD
TXN000167,ACC00010,CUST0009,2025-10-02 07:51:49,11908.11,debit,Taylor and Sons,CA,ACH
TXN000168,ACC00010,CUST0009,2025-10-12 09:42:57,11193.14,debit,Benson-Mccarthy,JP,ACH
TXN000169,ACC00010,CUST0009,2025-11-10 08:09:45,2936.67,debit,Jason Daniels,GB,CHECK
TXN000170,ACC00010,CUST0009,2025-12-29 12:06:30,1651.12,debit,Daniel Fisher,SG,CARD
TXN000171,ACC00010,CUST0009,2025-12-22 22:55:30,6101.06,credit,Lauren Dominguez,US,CHECK
TXN000172,ACC00010,CUST0009,2025-10-29 23:41:07,7925.26,debit,Pamela James,CA,CARD
TXN000173,ACC00010,CUST0009,2025-11-17 00:35:50,6528.46,credit,Guy Molina,US,CARD
TXN000174,ACC00010,CUST0009,2025-10-19 07:35:30,4605.76,debit,Medina-Navarro,GB,ACH
TXN000175,ACC00010,CUST0009,2025-10-31 21:24:16,9740.12,debit,Stephanie Freeman,AU,CARD
TXN000176,ACC00010,CUST0009,2025-12-19 16:28:49,11578.55,debit,Graham-Johnson,KP,ACH
TXN000177,ACC00010,CUST0009,2025-11-02 05:36:13,5292.6,debit,Caldwell-Yates,CA,WIRE
TXN000178,ACC00010,CUST0009,2025-12-10 03:24:58,11640.01,credit,"Martin, Mcdonald and Anderson",SG,WIRE
TXN000179,ACC00010,CUST0009,2025-10-26 17:32:52,7804.14,credit,Alyssa Long,NL,CARD
TXN000180,ACC00011,CUST0010,2025-12-24 16:47:59,2829.41,debit,Anthony Gray,CH,CARD
TXN000181,ACC00011,CUST0010,2025-10-23 02:04:53,1195.47,debit,Gabriel Juarez,NL,CARD
TXN000182,ACC00011,CUST0010,2025-11-13 01:50:45,362.26,credit,Ramirez-Bean,CH,ACH
TXN000183,ACC00011,CUST0010,2025-11-04 19:16:48,6381.59,credit,King-Miller,SG,ACH
TXN000184,ACC00011,CUST0010,2025-10-17 12:05:26,4600.48,credit,Joshua Cooke,CA,CARD
TXN000185,ACC00011,CUST0010,2025-11-26 14:51:16,3059.17,credit,Matthew Harrington,CH,CARD
TXN000186,ACC00011,CUST0010,2025-12-18 02:55:51,6566.05,debit,"Williams, Johnson and Wright",CH,ACH
TXN000187,ACC00011,CUST0010,2025-11-27 01:08:28,8288.86,credit,Lisa Allen,CH,CHECK
TXN000188,ACC00011,CUST0010,2025-11-07 08:24:00,4586.01,debit,Caldwell-Elliott,CH,ACH
TXN000189,ACC00011,CUST0010,2025-12-07 21:26:18,7904.16,credit,Michael Wang,DE,CHECK
TXN000190,ACC00011,CUST0010,2025-12-06 14:01:43,10929.49,debit,Lawrence Adkins,NL,CHECK
TXN000191,ACC00011,CUST0010,2025-12-27 15:59:27,7291.03,credit,Strickland and Sons,AU,WIRE
TXN000192,ACC00011,CUST0010,2025-11-30 06:46:52,9213.82,credit,Rodriguez-Johnson,CH,WIRE
TXN000193,ACC00011,CUST0010,2025-10-10 10:24:30,3718.0,debit,Michael Rubio,FR,CARD
TXN000194,ACC00011,CUST0010,2025-12-11 02:31:19,3931.14,credit,Miguel Jones,CH,CHECK
TXN000195,ACC00011,CUST0010,2025-12-16 08:42:27,6378.18,debit,Lori Garcia,NL,CHECK
TXN000196,ACC00011,CUST0010,2025-10-25 22:47:01,11609.39,debit,Sarah Burke,NL,CHECK
TXN000197,ACC00011,CUST0010,2025-12-18 01:59:51,1702.94,credit,William Patton,NL,CHECK
TXN000198,ACC00011,CUST0010,2025-12-10 07:32:50,10151.8,debit,Patel-Stanley,CH,ACH
TXN000199,ACC00011,CUST0010,2025-11-08 07:25:31,5466.28,credit,Matthew Smith,AU,CARD
TXN000200,ACC00011,CUST0010,2025-11-26 18:07:25,4467.79,credit,John Hamilton,CA,CARD
TXN000201,ACC00011,CUST0010,2025-11-30 03:38:55,10984.56,debit,Steven Stevens,CH,CARD
TXN000202,ACC00011,CUST0010,2025-12-19 23:43:19,7796.25,debit,Christopher Boyd,CH,CARD
TXN000203,ACC00011,CUST0010,2025-10-04 14:42:37,1180.73,credit,Lisa Gillespie,CH,CARD
TXN000204,ACC00011,CUST0010,2025-11-14 01:03:59,8362.9,credit,Julie Petersen,FR,CHECK
TXN000205,ACC00011,CUST0010,2025-12-10 13:05:55,1202.26,credit,Erica Sanchez,GB,CARD
TXN000206,ACC00011,CUST0010,2025-10-28 03:50:30,5329.9,credit,Ramirez Group,NL,ACH
TXN000207,ACC00011,CUST0010,2025-10-10 15:30:46,10822.47,debit,Christensen PLC,CH,ACH
TXN000208,ACC00011,CUST0010,2025-10-27 18:51:01,10179.13,credit,"Barnett, Rogers and Snyder",AU,ACH
TXN000209,ACC00011,CUST0010,2025-12-02 07:16:47,621.52,debit,John Kelly,AF,CHECK
TXN000210,ACC00011,CUST0010,2025-12-16 09:47:30,9185.62,debit,Peterson-Beard,CH,ACH
TXN000211,ACC00011,CUST0010,2025-12-24 10:32:14,9467.49,credit,"Beard, Peters and Black",CH,WIRE
TXN000212,ACC00011,CUST0010,2025-10-15 01:08:50,9585.3,debit,David Russell,NL,CARD
TXN000213,ACC00011,CUST0010,2025-10-13 19:07:25,2866.93,credit,"Chang, Vaughn and Brewer",CH,WIRE
TXN000214,ACC00011,CUST0010,2025-10-06 02:05:54,1377.15,credit,Ricky Davis II,CA,CARD
TXN000215,ACC00011,CUST0010,2025-11-05 03:36:43,6054.45,debit,"Sanchez, Beck and Wood",CH,ACH
TXN000216,ACC00012,CUST0010,2025-10-30 06:50:58,744.47,debit,Hailey Barajas,GB,CHECK
TXN000217,ACC00012,CUST0010,2025-12-06 14:43:22,5331.99,credit,Heather Chavez,US,CARD
TXN000218,ACC00012,CUST0010,2025-10-15 09:38:34,7602.97,credit,King-Martinez,US,ACH
TXN000219,ACC00012,CUST0010,2025-11-28 00:01:26,7271.14,debit,Bryan Herrera,JP,CARD
TXN000220,ACC00012,CUST0010,2025-12-22 19:09:03,6623.62,debit,"Lopez, Robinson and Washington",GB,WIRE
TXN000221,ACC00012,CUST0010,2025-12-26 05:24:07,5450.6,credit,"Lawrence, Wolf and Carlson",CH,ACH
TXN000222,ACC00012,CUST0010,2025-11-11 10:25:55,11444.49,credit,Wall LLC,CA,ACH
TXN000223,ACC00012,CUST0010,2025-10-09 20:34:08,1173.06,debit,Ward LLC,SG,ACH
TXN000224,ACC00012,CUST0010,2025-11-24 00:26:16,6747.45,credit,Joseph Hill,GB,CHECK
TXN000225,ACC00012,CUST0010,2025-12-24 19:39:09,10419.81,debit,Tran Ltd,KP,WIRE
TXN000226,ACC00012,CUST0010,2025-11-28 07:03:24,6096.49,credit,Little Group,CA,ACH
TXN000227,ACC00012,CUST0010,2025-12-22 06:17:36,4420.98,credit,Salas PLC,FR,WIRE
TXN000228,ACC00012,CUST0010,2025-12-18 08:57:43,9213.3,credit,John Peterson,AU,CARD
TXN000229,ACC00012,CUST0010,2025-11-24 01:17:51,9956.36,credit,Dawn Hensley,CH,CHECK
TXN000230,ACC00012,CUST0010,2025-12-08 05:24:24,4222.2,debit,Austin Vasquez,CH,CHECK
TXN000231,ACC00012,CUST0010,2025-12-03 19:43:26,7603.6,credit,"Soto, Brown and Hernandez",JP,ACH
TXN000232,ACC00012,CUST0010,2025-10-21 21:17:45,1901.86,credit,Elizabeth Mcknight,US,CARD
TXN000233,ACC00012,CUST0010,2025-11-25 02:35:19,1880.38,debit,Grant Group,CH,WIRE
TXN000234,ACC00012,CUST0010,2025-10-08 22:05:55,5836.1,credit,Rachel Perez,CH,CARD
TXN000235,ACC00012,CUST0010,2025-12-13 07:08:42,1344.69,debit,"James, Kerr and Evans",FR,ACH
TXN000236,ACC00012,CUST0010,2025-11-21 03:50:43,4752.83,debit,"Branch, Torres and Oliver",CH,ACH
TXN000237,ACC00012,CUST0010,2025-10-30 06:21:28,9173.76,debit,"Choi, Garcia and Farmer",CH,WIRE
TXN000238,ACC00012,CUST0010,2025-11-18 06:59:30,4572.49,debit,"Clark, Guerrero and Moore",CA,ACH
TXN000239,ACC00012,CUST0010,2025-12-20 21:51:21,4774.64,debit,Arnold and Sons,GB,ACH
TXN000240,ACC00012,CUST0010,2025-11-14 15:18:18,6916.05,debit,Ortiz Ltd,JP,WIRE
TXN000241,ACC00012,CUST0010,2025-11-10 13:17:50,11595.08,credit,Doris Hall,CH,CARD
TXN000242,ACC00012,CUST0010,2025-11-14 16:06:12,1072.08,debit,Michele Gibson,CH,CHECK
TXN000243,ACC00012,CUST0010,2025-11-27 04:10:10,10448.98,credit,"Hall, Baker and Moody",CH,ACH
TXN000244,ACC00012,CUST0010,2025-12-15 15:28:34,1382.12,credit,Regina Gonzalez,CH,CARD
TXN000245,ACC00012,CUST0010,2025-11-03 22:06:12,7750.78,credit,Danny Hernandez,CH,CHECK
TXN000246,ACC00012,CUST0010,2025-10-25 20:26:57,9126.84,credit,Charles Brown,CH,CARD
TXN000247,ACC00012,CUST0010,2025-12-15 00:51:59,6771.95,debit,Linda Holloway,AU,CARD
TXN000248,ACC00012,CUST0010,2025-12-25 15:19:16,7500.76,debit,Jessica Harrison,FR,CARD
