customer_id,full_name,dob,home_jurisdiction,customer_since
CUST0047,Matthew Farley,1987-09-03,FR,2017-11-10T00:00:00
CUST0048,Elizabeth French,1969-06-04,CA,2018-05-28T00:00:00
CUST0049,Kelly Hamilton,1989-09-08,GB,2023-03-10T00:00:00
CUST0050,Monica Snow,1978-01-28,NL,2020-09-14T00:00:00
CUST0051,Sheila Jones,1978-07-25,NL,2021-11-23T00:00:00
CUST0052,Amber Schultz,1988-11-07,US,2018-08-28T00:00:00
CUST0053,Richard Lindsey,1966-12-08,US,2023-04-03T00:00:00
CUST0054,Katherine Armstrong,1970-12-13,SG,2018-03-18T00:00:00
CUST0055,Patrick Graham,1998-06-05,FR,2023-10-30T00:00:00
CUST0056,Christine Lopez,1971-03-10,SG,2020-07-05T00:00:00
CUST0057,David Cannon,2002-06-01,JP,2025-06-20T00:00:00
CUST0058,Sarah Hopkins,1993-03-01,CA,2020-03-12T00:00:00
CUST0059,Michael Mcbride,1974-01-18,CH,2022-02-28T00:00:00
CUST0060,Carrie Deleon,1970-10-13,JP,2024-10-30T00:00:00
CUST0061,Miguel Brewer,1997-10-05,CA,2023-05-02T00:00:00
CUST0062,Ray Ramos,1992-08-01,CA,2023-09-04T00:00:00
CUST0063,Brandon Moore,1955-10-01,GB,2022-05-30T00:00:00
CUST0064,Cody Bailey,1992-04-14,GB,2019-01-29T00:00:00
CUST0065,Tyrone West,1973-03-05,CH,2021-01-26T00:00:00
CUST0066,Sarah Rodriguez,1953-08-25,CA,2020-04-17T00:00:00
CUST0067,Thomas Torres,1978-06-19,GB,2025-01-03T00:00:00
CUST0068,Mallory Rodgers,1959-03-15,FR,2021-08-16T00:00:00
CUST0069,Fred Wong,1991-02-04,GB,2023-03-19T00:00:00
CUST0070,Sara Evans,2003-01-01,DE,2017-12-08T00:00:00
CUST0071,Bryan Villarreal,1969-04-21,US,2021-07-14T00:00:00
CUST0072,Leon Erickson,2006-05-11,AU,2022-01-14T00:00:00
CUST0073,Jonathan Young,1976-04-19,NL,2023-10-21T00:00:00
CUST0074,Andre Alvarez,1970-07-28,GB,2021-12-19T00:00:00
CUST0075,Mary Barnett,1989-07-13,CA,2024-01-25T00:00:00
CUST0076,Douglas Hodge,1951-05-08,JP,2023-11-08T00:00:00
CUST0077,Timothy Moore,1978-10-23,GB,2017-09-28T00:00:00
CUST0078,Larry Bennett,1994-01-29,JP,2021-11-16T00:00:00
CUST0079,Felicia Turner MD,2007-05-15,US,2024-01-19T00:00:00
CUST0080,Lisa Huffman,2006-10-14,CH,2021-03-27T00:00:00
CUST0081,Megan Barron,1956-11-12,CA,2017-09-15T00:00:00
CUST0082,Timothy Mack,2004-07-25,US,2019-03-04T00:00:00
CUST0083,Mr. David Jennings,2006-01-27,NL,2024-07-06T00:00:00
CUST0084,Thomas Garcia,1959-05-08,CA,2018-09-11T00:00:00
CUST0085,Emily Cherry,1975-11-05,AU,2023-06-04T00:00:00
CUST0086,Robert Alvarez,1962-06-30,JP,2018-03-06T00:00:00
CUST0087,Teresa Adams,1986-11-25,CA,2021-11-04T00:00:00
CUST0088,Matthew Johnson,1959-08-16,DE,2020-10-30T00:00:00
CUST0089,Carolyn Bradley,1951-05-06,CH,2017-10-31T00:00:00
CUST0090,Brittany Bailey,1962-02-25,CA,2022-07-27T00:00:00
CUST0091,Kayla Dixon,1974-01-30,FR,2019-11-20T00:00:00
CUST0092,Chelsea Lopez,1993-02-13,DE,2023-06-18T00:00:00
CUST0093,Melissa Mccarty,1989-01-07,AU,2025-03-09T00:00:00
CUST0094,Jill Washington,1951-08-29,GB,2024-11-09T00:00:00
CUST0095,Toni Whitaker,1988-11-27,FR,2019-10-14T00:00:00
CUST0096,Edgar Alexander,1979-05-18,CH,2025-01-01T00:00:00
CUST0097,Edward Doyle,1976-05-15,DE,2022-12-13T00:00:00
CUST0098,Ann Weber,1986-01-31,JP,2025-07-04T00:00:00
CUST0099,Justin Glover,1967-11-26,CH,2021-11-08T00:00:00
CUST0100,Kenneth Johnson,1992-07-28,NL,2018-12-23T00:00:00
CUST0101,Andrea Byrd,1982-06-02,GB,2024-03-17T00:00:00
CUST0102,Leslie Randall,2002-02-02,JP,2023-08-23T00:00:00
CUST0103,Bill Valenzuela,1967-04-30,AU,2020-01-27T00:00:00
CUST0104,Penny Ortiz,1959-12-08,FR,2019-05-19T00:00:00
CUST0105,Shane Boyd,1961-01-01,MM,2019-03-06T00:00:00
CUST0106,Karen Cook,1991-04-15,AU,2021-10-13T00:00:00
CUST0107,Christopher Vasquez,1956-01-23,NL,2024-08-31T00:00:00
CUST0108,Luke Hopkins,1977-08-17,NL,2023-10-27T00:00:00
CUST0109,Greg Kent,1992-11-20,FR,2019-03-18T00:00:00
CUST0110,Norma Myers DDS,1966-09-03,US,2020-01-13T00:00:00
CUST0111,Rebecca Barrett,1994-11-14,US,2023-10-11T00:00:00
CUST0112,Brandon Blankenship,1994-11-21,SG,2022-08-27T00:00:00
CUST0113,Debra Sellers,1986-12-22,AU,2020-07-17T00:00:00
CUST0114,Jeffery Ferguson,1970-03-17,JP,2018-08-03T00:00:00
CUST0115,Timothy Day,1997-08-09,GB,2020-10-18T00:00:00
CUST0116,Steven Herrera,1965-11-25,AU,2024-02-14T00:00:00
CUST0117,Beth Cooper,1951-04-27,FR,2020-04-25T00:00:00
CUST0118,Luis Davis,1953-06-11,JP,2021-05-17T00:00:00
CUST0119,Elizabeth Wells,1993-12-01,FR,2023-01-04T00:00:00
CUST0120,Angela Kim,1979-07-27,US,2022-11-21T00:00:00
CUST0121,Dorothy Bowman,2004-03-27,NL,2022-04-01T00:00:00
CUST0122,Stephanie Ochoa,1968-01-23,AF,2021-08-07T00:00:00
CUST0123,Samuel Cox,1977-07-21,JP,2020-10-26T00:00:00
CUST0124,Daniel Montgomery,1963-01-07,FR,2021-02-14T00:00:00
CUST0125,Anne Russell,1992-10-20,NL,2024-05-31T00:00:00
CUST0126,Valerie Freeman,1971-04-05,AU,2023-05-28T00:00:00
CUST0127,Patrick Lopez,1990-03-28,SG,2022-10-08T00:00:00
CUST0128,Dr. Ashley Ho,1957-07-14,SG,2023-09-13T00:00:00
CUST0129,Teresa Adams,1977-12-27,FR,2021-07-23T00:00:00
CUST0130,Nathaniel Burnett,1997-01-22,DE,2023-09-18T00:00:00
CUST0131,Lisa Stevenson,1999-02-19,DE,2020-10-14T00:00:00
CUST0132,Jason Johnson,1982-05-25,CH,2019-03-17T00:00:00
CUST0133,Steven Warren,1979-10-14,DE,2017-12-04T00:00:00
CUST0134,Nicholas Hall,1988-06-17,NL,2023-07-28T00:00:00
CUST0135,David Guzman,1969-05-27,CA,2017-08-17T00:00:00
CUST0136,Andrew Johnson,1979-06-22,JP,2019-08-10T00:00:00
CUST0137,David Alexander,1994-02-05,DE,2017-11-15T00:00:00
CUST0138,Joel Gonzales,1977-02-15,CA,2018-05-12T00:00:00
CUST0139,David Sanchez,1994-04-18,AF,2022-02-20T00:00:00
CUST0140,Justin Conrad,1992-11-18,DE,2019-09-29T00:00:00
CUST0141,Clifford Cannon,2002-10-09,NL,2022-06-20T00:00:00
CUST0142,Linda Daniels,1967-05-19,NL,2019-10-29T00:00:00
CUST0143,Michele Oconnor,1951-09-09,GB,2019-08-20T00:00:00
CUST0144,Erica Fletcher,1979-11-11,JP,2020-04-12T00:00:00
CUST0145,Steve Elliott,1959-12-31,CA,2023-01-22T00:00:00
CUST0146,Isaac Lee,1983-12-14,CA,2018-09-12T00:00:00
CUST0147,George Wong,1956-04-02,US,2025-07-31T00:00:00
CUST0148,Andrew Hickman,1963-11-23,GB,2023-09-15T00:00:00
CUST0149,Michael Flowers,1977-01-15,NL,2019-09-04T00:00:00
CUST0150,Darlene Rogers,1967-06-03,AU,2025-03-03T00:00:00
CUST0151,Dawn Johnson,1999-02-13,AU,2023-03-21T00:00:00
CUST0152,Felicia Marshall,1960-05-11,JP,2025-05-16T00:00:00
CUST0153,Jeremy Cobb,1990-06-01,AU,2019-10-13T00:00:00
CUST0154,David Gill,1977-09-29,JP,2018-02-24T00:00:00
CUST0155,Debra Cantu,1977-06-11,GB,2021-10-29T00:00:00
